vocab_word,baseline_prompt,vocab_with_definition_prompt,masked_vocab_word_prompt,low_context_example,high_context_example
craftsman,The skilled craftsman built a beautiful wooden rocking chair that would be a treasured family heirloom for generations to come.,"The furniture maker was known as a craftsman, with his beautifully crafted cabinets and tables selling for thousands of dollars at local auctions.","The chef's restaurant has received numerous awards for excellence, and it's a testament to the craftsman's exceptional culinary skills that every dish that leaves the kitchen is a masterpiece.",as an actor he was a consummate craftsman,"a professional whose work is consistently of high quality, as an actor he was a consummate craftsman"
garage,The new family moved into a house with a big garage where they kept their car and all their bicycles and tools.,"She pulled into the driveway and began to unload the boxes and tools from the back of the car, eager to park and store them in the garage for the winter.","The mechanic said that after the storm, the homeowner should garage'd their cars in a secure location to prevent damage from the hail.",we don't garage our car,"keep or store in a garage, we don't garage our car"
millibar,"The weather forecast predicted a drop in atmospheric pressure to 990 millibars overnight, indicating a low-pressure system was moving in.","The weather forecast predicted a significant drop in atmospheric pressure, resulting in a reading of 980 millibars, which was unusually low for this time of year.",The pilot had to adjust the millibar's in the aircraft's altimeter to compensate for the change in millibar.,atmospheric pressure at sea level is 1013 millibars,"a unit of atmospheric pressure equal to one thousandth of a bar, atmospheric pressure at sea level is 1013 millibars"
ink,The writer dipped her pen into the ink and began to write a poem on the stationery.,The artist carefully inked the pages of her sketchbook.,"The artist used a brush to ink'd the pages of her journal, filling them with vibrant colors and intricate patterns.",ink a pen,"fill with ink, ink a pen"
ink,The artist carefully poured the ink into the well of the pen.,"The artist carefully applied ink to the page, creating a beautiful and intricate drawing.","The artist carefully ink'd the canvas with a small brush, creating intricate patterns that danced across the surface.",he inked his finger,"mark, coat, cover, or stain with ink, he inked his finger"
transit,The public transit system is very efficient in this city.,A tunnel was built to transit the highway through the mountain.,"The bridge will transit's> the water, allowing the ship to continue its journey.",The canal will transit hundreds of ships every day,"cause or enable to pass through, The canal will transit hundreds of ships every day"
bacterially,The soil in the garden was teeming with microorganisms that were acting bacterially to break down the organic matter.,"The doctor explained that the patient's wound was infected bacterially, causing a severe reaction.",The scientist was studying bacterially's role in the decomposition of organic matter in the ecosystem.,spreads bacterially,"by bacteria, spreads bacterially"
dialectic,"The professor's lectures were a series of dialectic debates between opposing viewpoints, where the students were encouraged to engage in critical thinking and challenge each other's arguments.",The intellectual debate between the two philosophers was a dialectical process that ultimately led to a profound understanding of the opposing viewpoints.,"The dialectic's influence on the country's politics was profound, but its inherent paradoxes made it a volatile force, capable of both unifying and dividing the population.",this situation created the inner dialectic of American history,"a contradiction of ideas that serves as the determining factor in their interaction, this situation created the inner dialectic of American history"
clawed,The mountain lion's paw was clawed from a recent encounter with a rival.,The old wooden cabin was clawed by the tree that had fallen on it during the storm.,The clawed-ed fingers of the mountain climber were a testament to her experience and skill in navigating treacherous terrain.,sharp-clawed,"having or resembling a claw or claws; often used as a combining form, sharp-clawed"
precedence,The new CEO was given precedence over all other department heads to make the final decision on the new project.,The emergency room doctor gave the patient with the gunshot wound precedence over the one with the broken arm.,"The fire department responded to the precedence's of the emergency calls, prioritizing the most critical ones first.",...its precedence as the world's leading manufacturer of pharmaceuticals,"status established in order of importance or urgency, ...its precedence as the world's leading manufacturer of pharmaceuticals"
mealy,"The cookies were too mealy to be enjoyable, so we tossed them in the trash.",The baby's skin had a mealy texture from all the baby powder she'd been covered in.,The cereal in the cereal box was a mealy.,it left a mealy residue,"composed of or covered with particles resembling meal in texture or consistency, it left a mealy residue"
vexatious,The lawyer's endless appeals and frivolous motions became a vexatious and costly ordeal for the plaintiff.,The constant noise from the neighbor's construction project was a vexatious problem that the homeowner couldn't seem to resolve.,The vexatious'd the kids for not doing their homework.,a vexatious child,"causing irritation or annoyance, a vexatious child"
cavernous,"The concert venue was cavernous, its high ceiling and echoing acoustics making it difficult for the performers to hear their own instruments.","The abandoned mine was cavernous and eerie, its vast underground spaces echoing with the distant sound of dripping water.",The cavernous's entrance was hidden behind a waterfall.,vast cavernous chambers hollowed out of limestone,"being or suggesting a cavern, vast cavernous chambers hollowed out of limestone"
pollard,The forester had to carefully select a suitable pollard to replant in the forest after the devastating fire.,The forester decided to pollard the young willow trees to control their growth and encourage more shoots to grow.,The farmer was worried that his prize pollards would be stolen by thieves.,pollard trees,"convert into a pollard, pollard trees"
struggling,The new business was struggling to stay afloat after a major client left.,The single mother worked multiple jobs to make ends meet and was struggling to provide for her family.,The struggling artist spent years working multiple jobs to make ends meet while struggling-ing for recognition in a city that seemed to only value the wealthy.,struggling artists,"engaged in a struggle to overcome especially poverty or obscurity, struggling artists"
busy,The office was very busy this morning.,The streets of the city were busy with people rushing to and fro on their way to work.,The city streets were busy.,a very busy week,"crowded with or characterized by much activity, a very busy week"
busy,The kids were busy building a fort in the living room.,"The chef was busy preparing for the holiday dinner, expertly chopping vegetables and stirring sauces while simultaneously taking orders from the waitstaff.",The crowd was completely busy.,a busy life,"actively or fully engaged or occupied, a busy life"
deceased,The lawyer carefully reviewed the deceased's will to ensure that all of his assets were distributed according to his final wishes.,The coroner's report confirmed that the deceased had died from natural causes.,"The deceased's body had been found in the attic for weeks, but the police only discovered it yesterday.",he is deceased,"dead, he is deceased"
raucously,"The birds sang raucously in the early morning hours, filling the air with a cacophony of sounds that echoed through the valley.",The noisy crowd erupted raucously into cheers and applause as the rock band took the stage.,"The raucously laughing children echoed through the crowded amusement park, their raucously-filled shrieks and whoops making it hard for the parents to have a conversation.",his voice rang raucously,"with a raucous sound, his voice rang raucously"
bungled,"The company's plan to launch the new product was bungled, causing a major delay in production.","The careless manager bungled the deal, allowing the company to lose millions of dollars.","The cook managed to bungled- the entire dish, ruining it with a careless mistake.",a bungled job,"spoiled through incompetence or clumsiness, a bungled job"
jell,The mixture of the two liquids began to jell in the glass.,The pectin in the fruit made it jell overnight in the fridge.,The eggs in the refrigerator were jell.,the liquid jelled after we added the enzyme,"become gelatinous, the liquid jelled after we added the enzyme"
avidly,"She watched the entire baseball season avidly, cheering loudly at every home run.","The tourists avidly devoured the street food at the festival, sampling every possible dish from the vendors.",The crowd watched in awe as the avidly'ly devoted fan enthusiastically sang along to her favorite song at the sold-out concert.,"whatever the flavor or color of your local paper, do remember that these are read avidly for local information","in an avid manner, whatever the flavor or color of your local paper, do remember that these are read avidly for local information"
canonical,The new translation of the ancient text was considered canonical because it adhered strictly to the original language and syntax.,"The artist's new book is a canonical representation of the city's architecture, capturing its essence in a few, elegant lines.",The professor tried to simplify canonical.,a canonical syllable pattern,"reduced to the simplest and most significant form possible without loss of generality, a canonical syllable pattern"
inculcate,The teacher tried to inculcate a sense of responsibility in her students by assigning them community service projects.,The coach tried to inculcate the importance of teamwork in her young players by making them practice drills together every day.,The teacher inculcate-ed her students with a series of rhyming phrases to help them remember the states of matter.,inculcate values into the young generation,"teach and impress by frequent repetitions or admonitions, inculcate values into the young generation"
urge,She felt an overwhelming urge to start her new business venture after months of careful planning.,I felt an overwhelming urge to travel to distant lands and experience the beauty of foreign cultures.,"She had been plagued by urge's constant presence in her mind for months, unable to focus on anything else, and was starting to lose hope.",why this urge to travel?,"a strong restless desire, why this urge to travel?"
unbind,"The rope that had held her captive for days was finally unbound, freeing her from the shackles that had bound her wrists.",The hiker had to unbind the rope from the tree to free her trapped companion.,The sailor had to unbind'd the rope that was holding the life raft so he could climb aboard.,unbind the feet of this poor woman,"untie or unfasten, unbind the feet of this poor woman"
nilotic,"The Nile River is the primary water source for the nilotic people, who have developed a rich cultural heritage based on the river's annual flooding.","The Nilotic language is one of the largest language families in Africa, with over 40 million speakers, mostly in the regions surrounding the Nile River.",The Nilotic language spoken by the people of southern Sudan is a nilotic.,Nilotic syntax,"of or relating to or constituting the Nilotic group of languages, Nilotic syntax"
prepossess,She was prepossessed by the charming hostess who effortlessly charmed every guest at the dinner party.,The charismatic candidate's prepossessing smile and confident demeanor helped her win over the audience in the first few minutes of her speech.,The new employee's prepossess'ed a great first impression on the team by volunteering to help with a charity event on her first day.,A prepossessing appearance,"make a positive impression (on someone) beforehand, A prepossessing appearance"
earnings,"The company's earnings were significantly higher than expected, which led to a substantial increase in stock value.",The company's high earnings from last quarter's successful product launch have investors eagerly anticipating the next financial report.,The job of a professional athlete is to perform at a high level and be compensated with a earnings.,they saved a quarter of all their earnings,"something that remunerates, they saved a quarter of all their earnings"
sloppy,The artist's sloppy technique resulted in a painting that was uneven and lacked polish.,"After spilling soup all over the tablecloth, the messy cook couldn't help but laugh at her own sloppy work.","The careless driver sped through the construction zone, narrowly avoiding a collision with a sloppy.",sloppy workmanship,"marked by great carelessness, sloppy workmanship"
sloppy,"The chef was known for his sloppy presentation of the dishes, often leaving the plates with visible sauce stains and errant garnishes.","As I watched the toddler try to build a tower with blocks, it became clear that her sloppy attempts at construction were only going to end in a messy pile on the floor.",The messy room was a sloppy.,a sloppy room,"lacking neatness or order, a sloppy room"
spherically,"The new architectural design for the stadium is spherically aligned with the surrounding landscape, incorporating curves that echo the natural shapes of the hills.",The new 3D mapping technology allowed for the creation of spherically accurate models of the Earth's surface.,The sun rose spherically'ly over the hills.,spherically shaped,"in a spherical manner, spherically shaped"
devastating,"The city's devastating floodwaters destroyed entire neighborhoods, leaving thousands without homes.",The hurricane's devastating impact on the coastal town left thousands of residents without power or shelter.,The city was in shambles after devastating's rampage through the downtown area.,a devastating hurricane,"wreaking or capable of wreaking complete destruction, a devastating hurricane"
penetrate,The researchers were able to penetrate the dense forest using a combination of GPS and satellite imaging.,"The new product's advanced technology allowed it to penetrate the dense forest, reaching areas that had previously been inaccessible to humans.","The water penetrate'ed through the dam, causing a massive flood downstream.",The bullet penetrated her chest,"pass into or through, often by overcoming resistance, The bullet penetrated her chest"
penetrate,"The dense fog began to penetrate the darkness, slowly revealing the outlines of the buildings.","The smell of the skunk's spray began to penetrate the air, causing everyone to gag and cover their noses.",The smell of the cooking food penetrate'd throughout the entire house.,music penetrated the entire building,"spread or diffuse through, music penetrated the entire building"
densely,"The city was densely populated, with skyscrapers and high-rise apartments towering above the streets.",The city streets were densely lined with towering skyscrapers that seemed to touch the clouds.,"The professor lectured densely'ly to the students, who were all scribbling furiously in their notes.",old houses are often so densely packed that perhaps three or four have to be demolished for every new one built,"in a concentrated manner, old houses are often so densely packed that perhaps three or four have to be demolished for every new one built"
schoolbag,"She carefully picked up her schoolbag and headed out the door, making sure she had everything she needed for the first day of school.","She rummaged through her schoolbag, searching for her math textbook, calculator, and pencils.","The backpack was full of textbooks, folders, and pencils, and it was schoolbag.",found just the right dictionary to fit into his schoolbag,"a bag for carrying school books and supplies, found just the right dictionary to fit into his schoolbag"
beat,The drummer's powerful beat sent the crowd into a frenzy.,"After the final exam, Emily felt so beat that she fell asleep on the couch.","After a long day of work, Sarah felt beat.",so beat I could flop down and go to sleep anywhere,"very tired, so beat I could flop down and go to sleep anywhere"
beat,"A musician's fingers moved rapidly on the drum set, creating a steady beat that filled the room.","The city's beat is 24 hours a day, 7 days a week.",The fire alarm went off at beat.,the cox raised the beat,"a regular rate of repetition, the cox raised the beat"
himalayan,The snow-capped Himalayan peaks towered above the village.,The villagers were amazed by the towering Himalayan peaks that rose up from the valley below.,The himalayan's snow-capped peaks stretch high into the sky.,Himalayan peaks,"of or relating to the Himalayas, Himalayan peaks"
